"titleID","titleName","titleSort","titleURL","authorFirstName","authorLastName","publicationDate","imageName","categoryID","shortDescription","urlPKDweb","active","createdAt","updatedAt"
1,"The Broken Bubble","broken bubble, the","The-Broken-Bubble","Philip K.","Dick","1988-01-01 00:00:00+00","https://philipdick.com/images/covers/TheBrokenBubble.jpg",1,"Four people's lives intertwine and collide in this early novel from one of the SF greats

San Francisco in the 1950s, a turning point in American culture: the rise of rock and roll and the teenage lifestyle. Jim Briskin is a disc jockey on radio KOIF. He's still in love with his ex-wife, Pat - even though she's about to marry someone else at the station - and she's vacillating between them. But when he takes her to visit the desperate household of two of his teenage fans, she seduces the boy into abandoning his pregnant wife - who then claims Jim as her protector and support.

And all around them the cultural upheaval of postwar American society is manifest, by teenage outcasts who have a remote-controlled Nazi automobile they use to bump into the rich kids' cars; by Thisbe Holt, the dancer who performs for conventioneers by stuffing herself inside a clear plastic bubble; by blaring used-car ads and the conflict between generations.

Dick gives us a vision of redemption tempered with layered ironies and a lot of real humour.","https://1999pkdweb.philipdick.com/broken.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-30 18:53:11.402+00"
2,"Clans of the Alphane Moon","clans of the alphane moon","Clans-Of-The-Alphane-Moon","Philip K.","Dick","1964-01-01 00:00:00+00","https://philipdick.com/images/covers/ClansOfTheAlphaneMoon.jpg",1,"On a planet run by escapees from a mental institution, the doctors who arrive to restore order may be the craziest of all.

For years, the third moon in the Alphane system was used as a psychiatric hospital. But when war broke out between Earth and the Alphanes, the hospital was left unguarded and the inmates set up their own society, made up of competing factions based around each mental illness. When Earth sends a delegation to take back the colony, they find enclaves of depressives, schizophrenics, paranoiacs, and other mentally ill people coming together to repel what they see as a foreign invasion. Meanwhile, back on Earth, CIA agent Chuck Rittersdorf and his wife Mary are going through a bitter divorce, with Chuck losing everything. But when Chuck is assigned to clandestinely control an android accompanying Mary to the Alphane moon, he sees an opportunity to get his revenge.","https://1999pkdweb.philipdick.com/CLANS%20OF%20THE%20ALPHANE%20MOON.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 20:51:04.673+00"
3,"Confessions of a Crap Artist","confessions of a crap artist","Confessions-Of-A-Crap-Artist","Philip K.","Dick","1975-01-01 00:00:00+00","https://philipdick.com/images/covers/ConfessionsOfACrapArtist.jpg",1,"""A funny, horribly accurate portrait of a life in California in the Fifties.""—Rolling Stone

Jack Isidore doesn't see the world like most people. According to his brother-in-law Charlie, he’s a crap artist, obsessed with his own bizarre theories and ideas, which he fanatically records in his many notebooks. He is so grossly unequipped for real life that his sister and brother-in-law feel compelled to rescue him from it. But while Fay and Charlie Hume put on a happy face for the world, they prove to be just as sealed off from reality, in thrall to obsessions that are slightly more acceptable than Jack's but a great deal uglier. Their constant fighting and betrayals threaten their own marriage and the relationships of everyone around them. When they bring Jack into their home, he finds himself in the middle of a maelstrom of suburban angst from which he might not be able to escape.

Confessions of a Crap Artist is one of Philip K. Dick's most accomplished novels, and the only non–science fiction novel published in his lifetime.","",True,"2020-10-19 03:10:31.269921+00","2020-10-27 20:53:45.299+00"
4,"The Cosmic Puppets","cosmic puppets, the","The-Cosmic-Puppets","Philip K.","Dick","1957-01-01 00:00:00+00","https://philipdick.com/images/covers/TheCosmicPuppets.jpg",1,"Following an inexplicable urge, Ted Barton returns to his idyllic Virginia hometown for a vacation, but when he gets there, he is shocked to discover that the town has utterly changed. The stores and houses are all different and he doesn’t recognize anybody. The mystery deepens when he checks the town’s historical records . . . and reads that he died nearly twenty years earlier. As he attempts to uncover the secrets of the town, Barton is drawn deeper into the puzzle, and into a supernatural battle that could decide the fate of the universe.","https://1999pkdweb.philipdick.com/THE%20COSMIC%20PUPPETS.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 20:59:51.476+00"
5,"Counter-Clock World","counter-clock world","Counter-Clock-World","Philip K.","Dick","1967-01-01 00:00:00+00","https://philipdick.com/images/covers/CounterClockWorld.jpg",1,"“Dick is the American writer who in recent years has most influenced non-American poets, novelists, and essayists.”—Roberto Bolaño

In Counter-Clock World, time has begun moving backward. People greet each other with “goodbye,” blow smoke into cigarettes, and rise from the dead. When one of those rising dead is the famous and powerful prophet Anarch Peak, a number of groups start a mad scramble to find him first—but their motives are not exactly benevolent because Anarch Peak may just be worth more dead than alive, and these groups will do whatever they must to send him back to the grave.

What would you do if your long-dead relatives started coming back? Who would take care of them? And what if they preferred being dead? In Counter-Clock World, one of Dick’s most theological and philosophical novels, these troubling questions are addressed; though, as always, you may have to figure out the answers yourself.","https://1999pkdweb.philipdick.com/Counterclock%20World.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:00:46.874+00"
6,"The Crack in Space","crack in space, the","The-Crack-In-Space","Philip K.","Dick","1966-01-01 00:00:00+00","https://philipdick.com/images/covers/TheCrackInSpace.jpg",1,"""Dick’s best books always describe a future that is both entirely recognizable and utterly unimaginable.""—The New York Times Book Review

When a repairman accidentally discovers a parallel universe, everyone sees it as an opportunity, whether as a way to ease Earth’s overcrowding, set up a personal kingdom, or hide an inconvenient mistress. But when a civilization is found already living there, the people on this side of the crack are sent scrambling to discover their motives. Will these parallel humans come in peace, or are they just as corrupt and ill-intentioned as the people of this world?","https://1999pkdweb.philipdick.com/THE%20CRACK%20IN%20SPACE.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:01:50.408+00"
7,"Deus Irae","deus irae","Deus-Irae","Philip K.","Dick","1976-01-01 00:00:00+00","https://philipdick.com/images/covers/DeusIrae.jpg",1,"An artist searches for God so he can paint his portrait in Philip K. Dick’s collaboration with Roger Zelazny.

After World War III, the Servants of Wrath cult deified the mysterious Carlton Lufteufel, creator of the doomsday weapon that wiped out much of humanity. But to worship the man, they need an image of him as a god, and no one has ever seen him. So the high priests send a limbless master painter named Tibor McMasters into the wilderness on a mission to find Lufteufel and capture his likeness. Unfortunately for Tibor, the nation’s remaining Christians do not want him to succeed and are willing to kill to ensure that the so-called Deus Irae remains hidden. This hallucinatory tale through a nuclear wasteland asks what price the artist must pay for art and tries to figure out just what makes a god.","https://1999pkdweb.philipdick.com/DEUS%20IRAE.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:02:45.155+00"
8,"The Divine Invasion","divine invasion, the","The-Divine-Invasion","Philip K.","Dick","1981-01-01 00:00:00+00","https://philipdick.com/images/covers/TheDivineInvasion.jpg",1,"God is not dead, he has merely been exiled to an extraterrestrial planet. And it is on this planet that God meets Herb Asher and convinces him to help retake Earth from the demonic Belial. Featuring virtual reality, parallel worlds, and interstellar travel, The Divine Invasion blends philosophy and adventure in a way few authors can achieve.

As the middle novel of Dick’s VALIS trilogy, The Divine Invasion plays a pivotal role in answering the questions raised by the first novel, expanding that world while exploring just how much anyone can really know—even God himself.","https://1999pkdweb.philipdick.com/THE%20DIVINE%20INVASION.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:03:29.51+00"
9,"Do Androids Dream of Electric Sheep?","do androids dream of electric sheep?","Do-Androids-Dream-Of-Electric-Sheep","Philip K.","Dick","1968-01-01 00:00:00+00","https://philipdick.com/images/covers/DoAndroidsDreamOfElectricSheep.jpg",1,"A masterpiece ahead of its time, a prescient rendering of a dark future, and the inspiration for the blockbuster film Blade Runner

By 2021, the World War has killed millions, driving entire species into extinction and sending mankind off-planet. Those who remain covet any living creature, and for people who can’t afford one, companies built incredibly realistic simulacra: horses, birds, cats, sheep. They’ve even built humans. Immigrants to Mars receive androids so sophisticated they are indistinguishable from true men or women. Fearful of the havoc these artificial humans can wreak, the government bans them from Earth. Driven into hiding, unauthorized androids live among human beings, undetected. Rick Deckard, an officially sanctioned bounty hunter, is commissioned to find rogue androids and “retire” them. But when cornered, androids fight back—with lethal force.","",True,"2020-10-19 03:10:31.269921+00","2020-11-04 00:32:10.447+00"
10,"Dr. Bloodmoney","dr. bloodmoney","Dr-Bloodmoney","Philip K.","Dick","1965-01-01 00:00:00+00","https://philipdick.com/images/covers/DrBloodmoney.jpg",1,"""A masterpiece.""—Roberto Bolaño

What happens after the bombs drop? This is the troubling question Philip K. Dick addresses with Dr. Bloodmoney, or How We Got Along After the Bomb. It is the story of a world reeling from the effects of nuclear annihilation and fallout, a world where mutated humans and animals are the norm, and the scattered survivors take comfort from a disc jockey endlessly circling the globe in a broken-down satellite. And hidden amongst the survivors is Dr. Bloodmoney himself, the man responsible for it all. This bizarre cast of characters cajole, seduce, and backstab in their attempts to get ahead in what is left of the world, consequences and casualties be damned. A sort of companion to Dr. Strangelove, an unofficial and unhinged sequel, Dick’s novel is just as full of dark comedy and just as chilling.","https://1999pkdweb.philipdick.com/DR.BLOODMONEY.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:04:22.565+00"
